Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
88.501,0.0685,-0.01665
88.6,0.0685,-0.0144
88.7,0.0685,-0.01575
88.799,0.0685,-0.0144
88.901,0.0685,-0.01575
89,0.068,-0.01575
89.1,0.068,-0.01575
89.2,0.068,-0.0159
89.3,0.068,-0.0144
89.4,0.0675,-0.01575
89.5,0.0675,-0.01575
89.6,0.0675,-0.01575
89.7,0.0675,-0.0159
89.8,0.0675,-0.0159
89.901,0.067,-0.0168
90,0.067,-0.01455
90.1,0.067,-0.01455
90.2,0.067,-0.01575
90.301,0.0665,-0.0159
90.401,0.0665,-0.01575
90.499,0.0665,-0.0129
90.6,0.0665,-0.0147
90.7,0.0665,-0.01605
90.801,0.066,-0.0162
90.9,0.066,-0.01485
91,0.066,-0.01605
91.101,0.0655,-0.01605
91.201,0.0655,-0.0159
91.3,0.066,-0.0138
91.4,0.0655,-0.01485
91.501,0.0655,-0.01575
91.6,0.065,-0.0159
91.7,0.065,-0.01605
91.799,0.065,-0.01515
91.9,0.065,-0.0162
92.001,0.065,-0.0159
92.101,0.065,-0.0162
92.2,0.0645,-0.01665
92.299,0.0645,-0.01515
92.401,0.0645,-0.0162
92.499,0.0645,-0.0153
92.601,0.064,-0.01635
92.699,0.0645,-0.0141
92.799,0.064,-0.01545
92.9,0.064,-0.01635
93,0.0635,-0.01635
93.101,0.0635,-0.0165
93.2,0.064,-0.01545
93.3,0.0635,-0.0171
93.401,0.0635,-0.01665
93.499,0.0635,-0.01425
93.6,0.0635,-0.01575
93.699,0.0635,-0.0156
93.801,0.063,-0.01665
93.9,0.063,-0.01575
94,0.063,-0.01665
94.1,0.063,-0.01575
94.199,0.063,-0.01455
94.3,0.0625,-0.01665
94.401,0.0625,-0.01695
94.5,0.062,-0.01665
94.601,0.062,-0.0168
94.699,0.062,-0.01605
94.799,0.062,-0.01605
94.901,0.062,-0.01695
95,0.062,-0.01695
95.1,0.0615,-0.01695
95.201,0.0615,-0.01695
95.3,0.0615,-0.0162
95.399,0.062,-0.015
95.501,0.0615,-0.01695
95.6,0.0615,-0.0162
95.699,0.0615,-0.01515
95.799,0.0615,-0.01635
95.899,0.061,-0.01635
96.001,0.0605,-0.0171
